simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:1457,6.599102,1.503264,0.04429663,-0.002646885,-0.07246404,0.01666188,-0.04675687,0.005979662,264.8291,0.3072398,2.382003,3.323336,1.059761,1.045398,1345830645,908397190
sim_inspiral:simulation_id:1458,7.028821,1.261145,-0.1554989,-0.1168488,-0.1569933,0.03461009,-0.01514964,-0.008131675,243.3277,0.7584184,3.09232,3.120708,3.697941,0.04793835,1345837192,52181341
sim_inspiral:simulation_id:1463,7.05895,1.537597,0.05876233,-0.09227234,0.3276244,0.01181185,-0.02871089,-0.01621827,246.4811,2.078885,0.5218121,2.498512,5.879383,0.867491,1345891350,487657386
sim_inspiral:simulation_id:1488,9.197856,1.286294,-0.02212586,0.009391976,-0.4009269,0.006339979,0.002005497,-0.00593493,315.4047,2.551841,2.582071,3.800192,6.060385,-1.068105,1346241645,974559874
sim_inspiral:simulation_id:1518,8.337633,1.505746,0.4019901,-0.1442926,-0.2460087,-0.005621035,0.006751883,0.01108092,571.4128,2.901378,4.823347,2.366647,4.170976,-1.076115,1346592774,196257158
sim_inspiral:simulation_id:1524,9.568149,1.152574,-0.02649684,0.03626917,0.01823132,0.01291164,-0.04121378,-0.009681104,123.4561,1.628892,5.578404,2.585222,2.265813,0.143145,1346691994,925190500
sim_inspiral:simulation_id:152,7.892944,1.298944,0.2387637,0.1037546,0.140449,0.0009205164,0.001297082,-0.002429734,511.1241,0.3893468,1.056862,0.690509,1.585082,-1.037113,1327419600,641220582
sim_inspiral:simulation_id:160,10.26237,1.393013,0.1992699,-0.08468138,0.1153684,-0.0009057056,0.0005153582,0.006118756,359.4393,2.370613,5.963618,1.444881,3.643271,0.1429014,1327529171,930051424
sim_inspiral:simulation_id:168,9.545987,1.478462,0.02281888,0.06118007,0.03037184,0.006962357,-0.04816135,0.006914592,265.6659,0.1213364,0.04375336,4.121427,5.968291,-0.5986844,1327671057,84344622
sim_inspiral:simulation_id:171,8.352097,1.336933,0.06098433,-0.117274,-0.02495617,-0.00130005,-6.883521e-05,-0.003405687,104.0769,2.655153,4.882774,2.83039,2.374214,0.8020083,1327744192,784731308
